AGNO,RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,EJEMPLO
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,9333484,1,200405,15,"5,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,10678013,1,200304,16,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,10758589,2,200411,14,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,11087081,1,200401,15,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,13088772,1,200306,16,"5,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,13407614,2,200303,16,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,13432268,1,200303,16,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,15573230,1,200403,15,"5,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,15738124,1,200405,15,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,16456318,1,200505,14,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,16868421,2,200401,15,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,16998642,2,200401,15,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,17305771,1,200303,16,"5,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,18202289,1,200412,14,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,19473470,2,200309,15,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,21510824,2,200407,14,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,22217994,2,200501,14,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,22709705,1,200212,16,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,23187573,2,200207,16,"5,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,B,3,24546409,2,200501,14,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,841060,1,200308,15,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,911813,2,200411,14,"5,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,929194,1,200409,14,"5,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,1092632,2,200106,18,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,2096745,2,200404,15,"5,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,3956211,2,200209,16,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,3960874,2,200505,14,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,7828759,2,200010,18,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,11452667,1,200501,14,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,13004729,1,200209,16,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,14245941,1,200212,16,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,16542398,2,200407,14,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,16604372,2,200409,14,"5,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,17904317,1,200205,17,"5,5"
